"DOI","Name","usage_count","semanticnet_scale","n_items","match_type","safe"
"10.1037/t84378-000","beliefs and values scale--arabic version","1","beliefs and values","4","core_exact","TRUE"
"10.1037/t78598-000","big three perfectionism scale--turkish version","1","big three perfectionism","45","core_exact","TRUE"
"10.1037/t83689-000","children's perception of interparental conflict scale--urdu version","1","children s perception of interparental conflict","52","core_exact","TRUE"
"10.1037/t87408-000","children's rejection sensitivity questionnaire--german version","1","children s rejection sensitivity","13","core_exact","TRUE"
"10.1037/t82294-000","cognitive avoidance questionnaire--spanish version","1","cognitive avoidance","25","core_exact","TRUE"
"10.1037/t45749-000","color-blind racial attitudes scale--short version","1","color blind racial attitudes","20","core_exact","TRUE"
"10.1037/t58830-000","community attitudes toward sex offenders--modified version","1","community attitudes toward sex offenders","20","exact","TRUE"
"10.1037/t67721-000","contingencies of self-worth scale--russian version","1","contingencies of self worth","35","core_exact","TRUE"
"10.1037/t85469-000","brief coparenting relationship scale--swedish version","1","coparenting relationship","35","core_exact","TRUE"
"10.1037/t65978-000","customer inspiration scale","1","customer inspiration","10","core_exact","TRUE"
"10.1037/t38168-000","desirability of control scale--spanish version","1","desirability of control","20","core_exact","TRUE"
"10.1037/t70597-000","drive inventory","1","drive","10","exact","TRUE"
"10.1037/t52041-000","emotion regulation questionnaire-modified","1","emotion regulation questionnaire","10","exact","TRUE"
"10.1037/t39250-000","fear of happiness measure","1","fear of happiness","4","core_exact","TRUE"
"10.1037/t06051-000","revised generalized expectancy for success scale","1","generalized expectancy for success","31","core_exact","TRUE"
"10.1037/t72908-000","hamilton anxiety rating scale-polish version","1","hamilton anxiety","15","core_exact","TRUE"
"10.1037/t86833-000","hyperarousal scale--japanese version","1","hyperarousal","26","core_exact","TRUE"
"10.1037/t51495-000","hypersensitive narcissism scale--turkish adaptation","1","hypersensitive narcissism","10","core_exact","TRUE"
"10.1037/t17438-000","imagination questionnaire","1","imagination","10","core_exact","TRUE"
"10.1037/t51067-000","internet self-efficacy scale--chinese version","1","internet self efficacy","8","core_exact","TRUE"
"10.1037/t32032-000","jealousy index","1","jealousy","32","core_exact","TRUE"
"10.1037/t72557-000","levels of self-criticism scale--slovak version","1","levels of self criticism","22","core_exact","TRUE"
"10.1037/t62737-000","life events checklist--kurdish version","1","life events checklist","17","exact","TRUE"
"10.1037/t31296-000","manifest anxiety scale--short form","1","manifest anxiety","50","core_exact","TRUE"
"10.1037/t03830-000","marital satisfaction inventory-revised: spanish version","1","marital satisfaction","8","core_exact","TRUE"
"10.1037/t58163-000","mastery scale--revised","1","mastery","6","core_exact","TRUE"
"10.1037/t46021-000","mindful attention awareness scale--estonian version","1","mindful attention awareness","15","core_exact","TRUE"
"10.1037/t46021-000","mindful attention awareness scale--estonian version","1","mindful attention awareness scale","15","exact","TRUE"
"10.1037/t73081-000","mood and anxiety symptom questionnaire--short form; spanish version","1","mood and anxiety symptom","28","core_exact","TRUE"
"10.1037/t81547-000","multiple sclerosis self-management scale--turkish version","1","multiple sclerosis self management","24","core_exact","TRUE"
"10.1037/t02639-000","need for touch scale-short version","1","need for touch","14","core_exact","TRUE"
"10.1037/t83132-000","other as shamer scale-2--turkish version","1","other as shamer","16","core_exact","TRUE"
"10.1037/t11783-000","pain catastrophizing scale--significant other version","1","pain catastrophizing","13","core_exact","TRUE"
"10.1037/t57053-000","parental health beliefs survey","1","parental health belief","30","fuzzy","TRUE"
"10.1037/t44603-000","passionate love scale--turkish version","1","passionate love","15","core_exact","TRUE"
"10.1037/t44603-000","passionate love scale--turkish version","1","passionate love form b","15","fuzzy","TRUE"
"10.1037/t65849-000","perceived-gratitude scale","1","perceived gratitude","4","core_exact","TRUE"
"10.1037/t82648-000","peritraumatic distress inventory--italian version","1","peritraumatic distress","13","core_exact","TRUE"
"10.1037/t74177-000","positive mental health scale--chinese version","1","positive mental health","9","core_exact","TRUE"
"10.1037/t42360-000","procrastination inventory","1","procrastination","16","core_exact","TRUE"
"10.1037/t46030-000","professional self identity questionnaire","1","professional self identity","9","core_exact","TRUE"
"10.1037/t71565-000","questionnaire psychological abuse","1","psychological abuse","15","core_exact","TRUE"
"10.1037/t54124-000","public speaking anxiety questionnaire--polish adaptation","1","public speaking anxiety","34","core_exact","TRUE"
"10.1037/t41854-000","reading rating form","1","reading","11","core_exact","TRUE"
"10.1037/t61812-000","religious schema scales--persian version","1","religious schema","3","core_exact","TRUE"
"10.1037/t80553-000","brief repetitive thinking questionnaire--swedish version","1","repetitive thinking","31","core_exact","TRUE"
"10.1037/t48210-000","responsibility interpretations questionnaire--japanese version","1","responsibility interpretations riq","22","fuzzy","TRUE"
"10.1037/t46606-000","revised self-monitoring scale--spanish version","1","self monitoring","22","core_exact","TRUE"
"10.1037/t57090-000","self-regulated practice behavior scale--turkish version","1","self regulated practice behavior","38","core_exact","TRUE"
"10.1037/t64727-000","silver lining questionnaire for couples","1","silver lining","38","core_exact","TRUE"
"10.1037/t60146-000","social avoidance and distress scale--polish version","1","social avoidance and distress","28","core_exact","TRUE"
"10.1037/t19620-000","social desirability scale--revised","1","social desirability","20","core_exact","TRUE"
"10.1037/t19620-000","social desirability scale--revised","1","social desirability 2","10","fuzzy","TRUE"
"10.1037/t19620-000","social desirability scale--revised","1","social desirability 3","5","fuzzy","TRUE"
"10.1037/t74097-000","social dominance orientation--italian version","1","social dominance orientation","16","exact","TRUE"
"10.1037/t68816-000","social sexual awareness scale","1","social sexual awareness","20","core_exact","TRUE"
"10.1037/t70298-000","stages of change readiness and treatment eagerness scale--russian version","1","socrates","19","exact","FALSE"
"10.1037/t72607-000","source credibility measure--spanish version","1","source credibility","18","core_exact","TRUE"
"10.1037/t64841-000","sources of social support scale--malay version","1","sources of social support","10","core_exact","TRUE"
"10.1037/t63443-000","revised strain index","1","strain","51","core_exact","TRUE"
"10.1037/t35121-000","stroke aphasic depression questionnaire--10-item hospital version","1","stroke aphasic depression","21","core_exact","TRUE"
"10.1037/t10703-000","student worry questionnaire-30","1","student worry","30","core_exact","TRUE"
"10.1037/t83494-000","tolerance questionnaire--spanish version","1","tolerance","12","core_exact","TRUE"
"10.1037/t56682-000","toronto empathy questionnaire--arabic version","1","toronto empathy","16","core_exact","TRUE"
"10.1037/t54159-000","timed reconstruction of unseen structures together task","1","trust","16","exact","FALSE"
"10.1037/t65901-000","white privilege attitudes scale--modified version","1","white privilege attitudes","28","core_exact","TRUE"
"10.1037/t74102-000","NA","0","acceptance of modern myths about sexual aggression","30","exact","TRUE"
"10.1037/t46146-000","NA","0","agreeableness","10","core_exact","NA"
"10.1037/t49227-000","NA","0","alabama parenting s","9","fuzzy","TRUE"
"10.1037/t45462-000","NA","0","allophilia","17","core_exact","NA"
"10.1037/t50716-000","NA","0","altruism","10","core_exact","NA"
"10.1037/t14426-000","NA","0","aspects of identity","90","core_exact","TRUE"
"10.1037/t69043-000","NA","0","athletic coping skills","28","core_exact","TRUE"
"10.1037/t19754-000","NA","0","attitudes towards mental illness","39","fuzzy","TRUE"
"10.1037/t57565-000","NA","0","attitudes twds women","25","fuzzy","TRUE"
"10.1037/t19124-000","NA","0","belief in a just world","6","core_exact","TRUE"
"10.1037/t79647-000","NA","0","bergen yale sex addiction","6","core_exact","TRUE"
"10.1037/t36496-000","NA","0","brief experience of caregiving","21","core_exact","TRUE"
"10.1037/t69217-000","NA","0","cancer treatment","29","core_exact","NA"
"10.1037/t79435-000","NA","0","columbia suicide severity","62","core_exact","TRUE"
"10.1037/t67373-000","NA","0","communication apprehension","24","core_exact","TRUE"
"10.1037/t41381-000","NA","0","communication competence","12","core_exact","TRUE"
"10.1037/t40796-000","NA","0","comprehension","10","core_exact","NA"
"10.1037/t05811-000","NA","0","computer anxiety","19","core_exact","NA"
"10.1037/t38696-000","NA","0","creativity","31","core_exact","NA"
"10.1037/t18293-000","NA","0","cultural estrangement","10","core_exact","TRUE"
"10.1037/t26693-000","NA","0","culture","10","core_exact","NA"
"10.1037/t04680-000","NA","0","death anxiety","15","core_exact","NA"
"10.1037/t81217-000","NA","0","decisional balance exercise","10","fuzzy","TRUE"
"10.1037/t50216-000","NA","0","deferment of gratification scale","12","core_exact","TRUE"
"10.1037/t23679-000","NA","0","diet self efficacy","10","fuzzy","TRUE"
"10.1037/t77067-000","NA","0","eating disorder examination","26","exact","TRUE"
"10.1037/t68538-000","NA","0","economic system justification","17","core_exact","TRUE"
"10.1037/t11281-000","NA","0","edinburgh postnatal depression","10","core_exact","TRUE"
"10.1037/t16946-000","NA","0","education","7","core_exact","NA"
"10.1037/t05874-000","NA","0","empathy","16","core_exact","NA"
"10.1037/t49078-000","NA","0","enthusiasm","10","core_exact","NA"
"10.1037/t26025-000","NA","0","environmental concern","5","core_exact","TRUE"
"10.1037/t45111-000","NA","0","experience of shame","25","core_exact","TRUE"
"10.1037/t19146-000","NA","0","familism","9","core_exact","NA"
"10.1037/t58824-000","NA","0","fatalism","24","core_exact","NA"
"10.1037/t02222-000","NA","0","fear of crime","4","core_exact","TRUE"
"10.1037/t77574-000","NA","0","fear of missing out","10","exact","TRUE"
"10.1037/t41452-000","NA","0","fear of negative evaluation straightforward","8","core_exact","TRUE"
"10.1037/t21779-000","NA","0","food environment","34","core_exact","NA"
"10.1037/t04687-000","NA","0","forgiveness","13","core_exact","NA"
"10.1037/t23934-000","NA","0","gambling","6","core_exact","NA"
"10.1037/t52112-000","NA","0","general regulatory focus","18","core_exact","TRUE"
"10.1037/t03070-000","NA","0","general self efficacy","10","core_exact","TRUE"
"10.1037/t61218-000","NA","0","health orientation ha","5","fuzzy","TRUE"
"10.1037/t61218-000","NA","0","health orientation he","5","fuzzy","TRUE"
"10.1037/t61218-000","NA","0","health orientation hs","5","fuzzy","TRUE"
"10.1037/t61218-000","NA","0","health orientation mh","5","fuzzy","TRUE"
"10.1037/t72790-000","NA","0","hexaco brief","24","core_exact","NA"
"10.1037/t05239-000","NA","0","hope","20","exact","NA"
"10.1037/t61889-000","NA","0","hurt feelings","6","core_exact","NA"
"10.1037/t29716-000","NA","0","identity","6","core_exact","NA"
"10.1037/t21582-000","NA","0","impulsive premeditated aggression","26","core_exact","TRUE"
"10.1037/t80563-000","NA","0","indecisiveness","30","core_exact","NA"
"10.1037/t50773-000","NA","0","interpersonal support evaluation","40","fuzzy","TRUE"
"10.1037/t79052-000","NA","0","islamophobia","35","core_exact","NA"
"10.1037/t30315-000","NA","0","job involvement","20","core_exact","NA"
"10.1037/t06889-000","NA","0","job satisfaction","8","core_exact","NA"
"10.1037/t48757-000","NA","0","kessler psychological distress scale k6","20","fuzzy","TRUE"
"10.1037/t05256-000","NA","0","life satisfaction","6","core_exact","NA"
"10.1037/t58748-000","NA","0","male role norms","30","core_exact","TRUE"
"10.1037/t08473-000","NA","0","masculine and feminine self disclosure","41","fuzzy","TRUE"
"10.1037/t86442-000","NA","0","mcgill friendship","16","core_exact","NA"
"10.1037/t06148-000","NA","0","meaninglessness","7","core_exact","NA"
"10.1037/t02362-000","NA","0","misanthropy","4","core_exact","NA"
"10.1037/t03727-000","NA","0","mobility inventory for agoraphobia","40","exact","TRUE"
"10.1037/t32201-000","NA","0","morale","17","core_exact","NA"
"10.1037/t56341-000","NA","0","morality","10","core_exact","NA"
"10.1037/t78091-000","NA","0","need for closure","89","core_exact","TRUE"
"10.1037/t79820-000","NA","0","need for cognition","46","exact","TRUE"
"10.1037/t85937-000","NA","0","need to belong","20","core_exact","TRUE"
"10.1037/t71558-000","NA","0","nurse practitioner satisfaction","28","fuzzy","TRUE"
"10.1037/t20827-000","NA","0","optimism","28","core_exact","NA"
"10.1037/t53351-000","NA","0","personal evaluation","54","core_exact","NA"
"10.1037/t37757-000","NA","0","personal health","10","core_exact","NA"
"10.1037/t27198-000","NA","0","personal report of spouse communication apprehension","50","fuzzy","TRUE"
"10.1037/t42686-000","NA","0","poise","20","exact","NA"
"10.1037/t53768-000","NA","0","politeness","21","core_exact","NA"
"10.1037/t14870-000","NA","0","problem recognition","25","core_exact","NA"
"10.1037/t73549-000","NA","0","pure procrastination","12","core_exact","TRUE"
"10.1037/t33203-000","NA","0","rape myth acceptance","8","core_exact","TRUE"
"10.1037/t15862-000","NA","0","rebelliousness","10","core_exact","NA"
"10.1037/t07225-000","NA","0","recent life experiences","41","fuzzy","TRUE"
"10.1037/t58282-000","NA","0","reflection","22","core_exact","NA"
"10.1037/t70398-000","NA","0","relationship attribution","19","core_exact","TRUE"
"10.1037/t58894-000","NA","0","responsibility","10","core_exact","NA"
"10.1037/t66332-000","NA","0","romance","6","core_exact","NA"
"10.1037/t30907-000","NA","0","rumination","12","core_exact","NA"
"10.1037/t74435-000","NA","0","self confidence","6","core_exact","NA"
"10.1037/t36694-000","NA","0","self consciousness","10","core_exact","NA"
"10.1037/t23728-000","NA","0","self criticism","13","core_exact","NA"
"10.1037/t06960-000","NA","0","self esteem","23","core_exact","NA"
"10.1037/t06960-000","NA","0","self image","5","core_exact","NA"
"10.1037/t13952-000","NA","0","sensation seeking 2","14","fuzzy","TRUE"
"10.1037/t85906-000","NA","0","servqual","20","exact","NA"
"10.1037/t25133-000","NA","0","sexual coercion","14","core_exact","NA"
"10.1037/t42637-000","NA","0","sexual double standard","16","core_exact","TRUE"
"10.1037/t72167-000","NA","0","short mood and feelings","13","core_exact","TRUE"
"10.1037/t53769-000","NA","0","skepticism","6","core_exact","NA"
"10.1037/t18986-000","NA","0","sociability","26","core_exact","NA"
"10.1037/t42422-000","NA","0","social confidence","10","core_exact","NA"
"10.1037/t70650-000","NA","0","social desirability 17","17","core_exact","TRUE"
"10.1037/t35615-000","NA","0","social responsibility","55","core_exact","TRUE"
"10.1037/t61897-000","NA","0","socially supportive behaviors","40","fuzzy","TRUE"
"10.1037/t45804-000","NA","0","state self esteem","20","core_exact","TRUE"
"10.1037/t13048-000","NA","0","symptom sign inventory","10","exact","TRUE"
"10.1037/t54500-000","NA","0","trust in management","5","core_exact","TRUE"
"10.1037/t51852-000","NA","0","trust in physician","11","core_exact","TRUE"
"10.1037/t55665-000","NA","0","wisdom","40","core_exact","NA"
"10.1037/t34739-000","NA","0","work family conflict s","6","fuzzy","TRUE"
"10.1037/t19807-000","NA","0","work motivation","19","core_exact","NA"
